# Example input file for the program fit-layer.
#
# The input file consists of two sections.
#
# The first section specifies parameters:
#   - Lines beginning with # are comments and are ignored by fit-layer.
#
#   - The format of each non-comment line is
#       <parameter> = <value> [optional text]
#
#   - The optional text is ignored by fit-layer.
#
#   - Units are always m^2/s for dfree, nA for current, s for duration,
#     and microns for distance -- no matter what the optional text says.
#
#   - Positions are specified relative to the source,
#     i.e. the source is at the origin.
#
#   - The default parameter values for any parameters not specified
#     here or on the command line are taken from fit-layer.c. 
#
#   - Parameter values specified on the command line override the
#     values specified in the input file.
#
#   - If the input file was created in Windows, you should convert
#     the file to Unix format, for example with dos2unix. Otherwise
#     the comment lines in the output file (copied from the input file)
#     could have ^M control characters (carriage returns) at the end.
#
# Two blank lines separate the first section from the second.
#
# The second section has the RTI data, in columns:
#   - 1st column is time (s)
#   - 2nd column is concentration (mM)
#   - Any other columns are ignored by fit-layer
#   - Columns are separated by whitespace
#   - The first line of the second section is the header
# -----------------------------
# Parameters at their default values for this example:
# dfree = 1.24e-09 m^2/s = free diffusion coefficient
# rmax = 1000.0 microns = radius of cylinder
# zmax = 2000.0 microns = height of cylinder
# probe_z = 120.0 microns = z-position of probe, relative to source
# probe_r = 0.0 microns = r-position of probe, relative to source
# nolayer = 0 (= FALSE) = flag for no SP layer (homogeneous environment)
# When nolayer = 1, SR values for alpha, theta, and kappa are used
# delay = 10.0 s = delay before source begins
# duration = 50.0 s = duration of source
# tmax = 150.0 s = total diffusion time
# nt_scale = 1.0 = scale factor for nt (for increasing time resolution)
# -----------------------------
# Parameters whose defaults depend on the values of other parameters:
# ez1 = 0.5 * (lz1 + lz2 - zmax)
#     = z-location of bottom of cylinder in microns
# ez2 = 0.5 * (lz1 + lz2 + zmax)
#     = z-location of top of cylinder in microns
# ez1, ez2 defaults chosen to center midplane of SP layer in cylinder
# nt = tmax/dt = number of time-steps
# Time-step spacing dt chosen to satisfy von Neumann stability criterion
nr = 250 = number of grid points in r direction; default = 500
nz = 500 = number of grid points in z direction; default = 1000
lz1 = 35 microns = z-location of SP layer bottom; default = -25 microns
lz2 = 85 microns = z-location of SP layer top; default = 25 microns
alpha_so = 0.20 = EC volume fraction in SO layer; default is 0.218
theta_so = 0.40 = permeability in SO layer; default = 0.447
kappa_so = 0.0 s^-1 = nonsp. clearance factor in SO; default = 0.007 s^-1
alpha_sr = 0.20 = EC volume fraction in SR layer; default is 0.218
theta_sr = 0.40 = permeability in SR layer; default = 0.447
kappa_sr = 0.0 s^-1 = nonsp. clearance factor in SR; default = 0.007 s^-1
current = 90 nA = source amplitude; default = 80 nA
trn = 0.3 = transport number of source electrode; default = 0.35


    time      	  c (3-layer model) 	  c (characteristic curve) 
   11.100000	0.00020364875	0.00013437579
   11.250000	0.00051595926	0.00036187536
   11.400000	0.0010789125	0.00079205144
   11.550000	0.0019662991	0.0014956076
   11.700000	0.0032364048	0.0025325496
   11.850000	0.0049289683	0.0039478133
   12.000000	0.0070656497	0.0057703280
   12.150000	0.0096524070	0.0080142283
   12.300000	 0.012682607	 0.010681125
   12.450000	 0.016140162	 0.013762706
   12.600000	 0.020002338	 0.017243228
   12.750000	 0.024242092	 0.021101722
   12.900000	 0.028829922	 0.025313802
   13.050000	 0.033735278	 0.029853117
   13.200000	 0.038927600	 0.034692461
   13.350000	 0.044377055	 0.039804596
   13.500000	 0.050055033	 0.045162853
   13.650000	 0.055934471	 0.050741543
   13.800000	 0.061990032	 0.056516231
   13.950000	 0.068198195	 0.062463900
   14.100000	 0.074537266	 0.068563038
   14.250000	 0.080987347	 0.074793667
   14.400000	 0.087530270	 0.081137327
   14.550000	 0.094149506	 0.087577033
   14.700000	  0.10083007	 0.094097217
   14.850000	  0.10755840	  0.10068365
   15.000000	  0.11432228	  0.10732336
   15.150000	  0.12111070	  0.11400455
   15.300000	  0.12791378	  0.12071653
   15.450000	  0.13472267	  0.12744960
   15.600000	  0.14152943	  0.13419499
   15.750000	  0.14832700	  0.14094481
   15.900000	  0.15510906	  0.14769192
   16.050000	  0.16187000	  0.15442993
   16.200000	  0.16860485	  0.16115307
   16.350000	  0.17530921	  0.16785621
   16.500000	  0.18197918	  0.17453472
   16.650000	  0.18861134	  0.18118451
   16.800000	  0.19520269	  0.18780190
   16.950000	  0.20175060	  0.19438366
   17.100000	  0.20825280	  0.20092691
   17.250000	  0.21470731	  0.20742911
   17.400000	  0.22111243	  0.21388803
   17.550000	  0.22746671	  0.22030172
   17.700000	  0.23376894	  0.22666850
   17.850000	  0.24001810	  0.23298688
   18.000000	  0.24621334	  0.23925563
   18.150000	  0.25235400	  0.24547366
   18.300000	  0.25843954	  0.25164008
   18.450000	  0.26446957	  0.25775414
   18.600000	  0.27044381	  0.26381525
   18.750000	  0.27636208	  0.26982292
   18.900000	  0.28222431	  0.27577680
   19.050000	  0.28803050	  0.28167662
   19.200000	  0.29378074	  0.28752222
   19.350000	  0.29947516	  0.29331352
   19.500000	  0.30511398	  0.29905050
   19.650000	  0.31069746	  0.30473323
   19.800000	  0.31622591	  0.31036184
   19.950000	  0.32169968	  0.31593649
   20.100000	  0.32711915	  0.32145741
   20.250000	  0.33248474	  0.32692488
   20.400000	  0.33779690	  0.33233921
   20.550000	  0.34305610	  0.33770072
   20.700000	  0.34826284	  0.34300981
   20.850000	  0.35341761	  0.34826686
   21.000000	  0.35852096	  0.35347231
   21.150000	  0.36357341	  0.35862660
   21.300000	  0.36857552	  0.36373020
   21.450000	  0.37352786	  0.36878357
   21.600000	  0.37843097	  0.37378723
   21.750000	  0.38328545	  0.37874167
   21.900000	  0.38809185	  0.38364741
   22.050000	  0.39285077	  0.38850497
   22.200000	  0.39756278	  0.39331488
   22.350000	  0.40222847	  0.39807767
   22.500000	  0.40684841	  0.40279389
   22.650000	  0.41142319	  0.40746407
   22.800000	  0.41595338	  0.41208876
   22.950000	  0.42043955	  0.41666851
   23.100000	  0.42488229	  0.42120385
   23.250000	  0.42928216	  0.42569533
   23.400000	  0.43363972	  0.43014349
   23.550000	  0.43795554	  0.43454887
   23.700000	  0.44223016	  0.43891202
   23.850000	  0.44646414	  0.44323345
   24.000000	  0.45065802	  0.44751372
   24.150000	  0.45481234	  0.45175333
   24.300000	  0.45892763	  0.45595283
   24.450000	  0.46300442	  0.46011271
   24.600000	  0.46704323	  0.46423351
   24.750000	  0.47104457	  0.46831572
   24.900000	  0.47500894	  0.47235985
   25.050000	  0.47893685	  0.47636641
   25.200000	  0.48282879	  0.48033587
   25.350000	  0.48668525	  0.48426873
   25.500000	  0.49050670	  0.48816548
   25.650000	  0.49429363	  0.49202657
   25.800000	  0.49804649	  0.49585250
   25.950000	  0.50176574	  0.49964371
   26.100000	  0.50545184	  0.50340067
   26.250000	  0.50910524	  0.50712382
   26.400000	  0.51272637	  0.51081362
   26.550000	  0.51631566	  0.51447050
   26.700000	  0.51987355	  0.51809490
   26.850000	  0.52340045	  0.52168724
   27.000000	  0.52689677	  0.52524794
   27.150000	  0.53036292	  0.52877742
   27.300000	  0.53379930	  0.53227608
   27.450000	  0.53720631	  0.53574434
   27.600000	  0.54058434	  0.53918258
   27.750000	  0.54393375	  0.54259120
   27.900000	  0.54725494	  0.54597059
   28.050000	  0.55054826	  0.54932112
   28.200000	  0.55381409	  0.55264316
   28.350000	  0.55705278	  0.55593709
   28.500000	  0.56026468	  0.55920327
   28.650000	  0.56345014	  0.56244205
   28.800000	  0.56660951	  0.56565378
   28.950000	  0.56974310	  0.56883882
   29.100000	  0.57285127	  0.57199750
   29.250000	  0.57593432	  0.57513016
   29.400000	  0.57899259	  0.57823713
   29.550000	  0.58202638	  0.58131874
   29.700000	  0.58503600	  0.58437529
   29.850000	  0.58802177	  0.58740712
   30.000000	  0.59098397	  0.59041452
   30.150000	  0.59392290	  0.59339782
   30.300000	  0.59683886	  0.59635729
   30.450000	  0.59973212	  0.59929325
   30.600000	  0.60260297	  0.60220599
   30.750000	  0.60545169	  0.60509578
   30.900000	  0.60827855	  0.60796292
   31.050000	  0.61108381	  0.61080767
   31.200000	  0.61386773	  0.61363033
   31.350000	  0.61663059	  0.61643114
   31.500000	  0.61937262	  0.61921039
   31.650000	  0.62209409	  0.62196833
   31.800000	  0.62479524	  0.62470521
   31.950000	  0.62747631	  0.62742130
   32.100000	  0.63013754	  0.63011684
   32.250000	  0.63277917	  0.63279207
   32.400000	  0.63540144	  0.63544724
   32.550000	  0.63800455	  0.63808259
   32.700000	  0.64058876	  0.64069835
   32.850000	  0.64315426	  0.64329474
   33.000000	  0.64570129	  0.64587201
   33.150000	  0.64823006	  0.64843037
   33.300000	  0.65074077	  0.65097004
   33.450000	  0.65323364	  0.65349124
   33.600000	  0.65570887	  0.65599418
   33.750000	  0.65816666	  0.65847907
   33.900000	  0.66060721	  0.66094613
   34.050000	  0.66303071	  0.66339555
   34.200000	  0.66543737	  0.66582754
   34.350000	  0.66782736	  0.66824229
   34.500000	  0.67020088	  0.67064000
   34.650000	  0.67255810	  0.67302086
   34.800000	  0.67489922	  0.67538506
   34.950000	  0.67722440	  0.67773279
   35.100000	  0.67953383	  0.68006422
   35.250000	  0.68182768	  0.68237956
   35.400000	  0.68410611	  0.68467896
   35.550000	  0.68636930	  0.68696261
   35.700000	  0.68861742	  0.68923067
   35.850000	  0.69085062	  0.69148333
   36.000000	  0.69306906	  0.69372075
   36.150000	  0.69527291	  0.69594309
   36.300000	  0.69746232	  0.69815051
   36.450000	  0.69963745	  0.70034319
   36.600000	  0.70179845	  0.70252127
   36.750000	  0.70394546	  0.70468492
   36.900000	  0.70607863	  0.70683428
   37.050000	  0.70819812	  0.70896952
   37.200000	  0.71030405	  0.71109077
   37.350000	  0.71239658	  0.71319819
   37.500000	  0.71447585	  0.71529192
   37.650000	  0.71654198	  0.71737211
   37.800000	  0.71859512	  0.71943890
   37.950000	  0.72063540	  0.72149243
   38.100000	  0.72266295	  0.72353282
   38.250000	  0.72467790	  0.72556023
   38.400000	  0.72668038	  0.72757479
   38.550000	  0.72867051	  0.72957662
   38.700000	  0.73064843	  0.73156585
   38.850000	  0.73261424	  0.73354262
   39.000000	  0.73456808	  0.73550705
   39.150000	  0.73651006	  0.73745927
   39.300000	  0.73844030	  0.73939940
   39.450000	  0.74035892	  0.74132755
   39.600000	  0.74226603	  0.74324386
   39.750000	  0.74416174	  0.74514844
   39.900000	  0.74604617	  0.74704140
   40.050000	  0.74791942	  0.74892286
   40.200000	  0.74978161	  0.75079293
   40.350000	  0.75163283	  0.75265173
   40.500000	  0.75347321	  0.75449936
   40.650000	  0.75530284	  0.75633594
   40.800000	  0.75712182	  0.75816157
   40.950000	  0.75893026	  0.75997636
   41.100000	  0.76072825	  0.76178041
   41.250000	  0.76251590	  0.76357383
   41.400000	  0.76429330	  0.76535672
   41.550000	  0.76606055	  0.76712917
   41.700000	  0.76781775	  0.76889130
   41.850000	  0.76956499	  0.77064319
   42.000000	  0.77130235	  0.77238494
   42.150000	  0.77302994	  0.77411665
   42.300000	  0.77474784	  0.77583842
   42.450000	  0.77645615	  0.77755033
   42.600000	  0.77815494	  0.77925248
   42.750000	  0.77984432	  0.78094496
   42.900000	  0.78152435	  0.78262786
   43.050000	  0.78319514	  0.78430127
   43.200000	  0.78485676	  0.78596527
   43.350000	  0.78650929	  0.78761995
   43.500000	  0.78815282	  0.78926539
   43.650000	  0.78978742	  0.79090169
   43.800000	  0.79141319	  0.79252892
   43.950000	  0.79303018	  0.79414717
   44.100000	  0.79463850	  0.79575651
   44.250000	  0.79623820	  0.79735703
   44.400000	  0.79782937	  0.79894880
   44.550000	  0.79941208	  0.80053191
   44.700000	  0.80098640	  0.80210643
   44.850000	  0.80255242	  0.80367244
   45.000000	  0.80411019	  0.80523000
   45.150000	  0.80565980	  0.80677921
   45.300000	  0.80720131	  0.80832012
   45.450000	  0.80873479	  0.80985282
   45.600000	  0.81026031	  0.81137737
   45.750000	  0.81177794	  0.81289385
   45.900000	  0.81328775	  0.81440232
   46.050000	  0.81478980	  0.81590285
   46.200000	  0.81628416	  0.81739552
   46.350000	  0.81777090	  0.81888039
   46.500000	  0.81925007	  0.82035753
   46.650000	  0.82072174	  0.82182700
   46.800000	  0.82218598	  0.82328887
   46.950000	  0.82364284	  0.82474320
   47.100000	  0.82509239	  0.82619005
   47.250000	  0.82653468	  0.82762950
   47.400000	  0.82796979	  0.82906160
   47.550000	  0.82939776	  0.83048641
   47.700000	  0.83081866	  0.83190399
   47.850000	  0.83223254	  0.83331441
   48.000000	  0.83363945	  0.83471773
   48.150000	  0.83503947	  0.83611399
   48.300000	  0.83643264	  0.83750326
   48.450000	  0.83781902	  0.83888561
   48.600000	  0.83919866	  0.84026107
   48.750000	  0.84057161	  0.84162972
   48.900000	  0.84193794	  0.84299161
   49.050000	  0.84329769	  0.84434678
   49.200000	  0.84465091	  0.84569530
   49.350000	  0.84599766	  0.84703722
   49.500000	  0.84733799	  0.84837259
   49.650000	  0.84867195	  0.84970147
   49.800000	  0.84999959	  0.85102390
   49.950000	  0.85132095	  0.85233994
   50.100000	  0.85263610	  0.85364964
   50.250000	  0.85394506	  0.85495304
   50.400000	  0.85524791	  0.85625021
   50.550000	  0.85654467	  0.85754118
   50.700000	  0.85783540	  0.85882601
   50.850000	  0.85912014	  0.86010474
   51.000000	  0.86039895	  0.86137743
   51.150000	  0.86167185	  0.86264411
   51.300000	  0.86293891	  0.86390484
   51.450000	  0.86420017	  0.86515966
   51.600000	  0.86545566	  0.86640861
   51.750000	  0.86670543	  0.86765175
   51.900000	  0.86794953	  0.86888912
   52.050000	  0.86918800	  0.87012075
   52.200000	  0.87042088	  0.87134670
   52.350000	  0.87164821	  0.87256701
   52.500000	  0.87287003	  0.87378172
   52.650000	  0.87408639	  0.87499086
   52.800000	  0.87529732	  0.87619450
   52.950000	  0.87650286	  0.87739266
   53.100000	  0.87770306	  0.87858539
   53.250000	  0.87889795	  0.87977272
   53.400000	  0.88008758	  0.88095470
   53.550000	  0.88127197	  0.88213137
   53.700000	  0.88245118	  0.88330276
   53.850000	  0.88362522	  0.88446892
   54.000000	  0.88479416	  0.88562989
   54.150000	  0.88595801	  0.88678569
   54.300000	  0.88711682	  0.88793638
   54.450000	  0.88827062	  0.88908198
   54.600000	  0.88941945	  0.89022254
   54.750000	  0.89056334	  0.89135809
   54.900000	  0.89170234	  0.89248866
   55.050000	  0.89283647	  0.89361430
   55.200000	  0.89396576	  0.89473504
   55.350000	  0.89509026	  0.89585091
   55.500000	  0.89621000	  0.89696195
   55.650000	  0.89732500	  0.89806819
   55.800000	  0.89843531	  0.89916967
   55.950000	  0.89954095	  0.90026642
   56.100000	  0.90064196	  0.90135847
   56.250000	  0.90173837	  0.90244586
   56.400000	  0.90283021	  0.90352863
   56.550000	  0.90391752	  0.90460679
   56.700000	  0.90500032	  0.90568039
   56.850000	  0.90607865	  0.90674946
   57.000000	  0.90715253	  0.90781402
   57.150000	  0.90822200	  0.90887412
   57.300000	  0.90928708	  0.90992977
   57.450000	  0.91034781	  0.91098102
   57.600000	  0.91140422	  0.91202789
   57.750000	  0.91245633	  0.91307041
   57.900000	  0.91350418	  0.91410861
   58.050000	  0.91454778	  0.91514252
   58.200000	  0.91558718	  0.91617218
   58.350000	  0.91662240	  0.91719760
   58.500000	  0.91765347	  0.91821882
   58.650000	  0.91868040	  0.91923587
   58.800000	  0.91970325	  0.92024877
   58.950000	  0.92072201	  0.92125756
   59.100000	  0.92173674	  0.92226225
   59.250000	  0.92274745	  0.92326288
   59.400000	  0.92375416	  0.92425948
   59.550000	  0.92475691	  0.92525207
   59.700000	  0.92575573	  0.92624068
   59.850000	  0.92675062	  0.92722533
   60.000000	  0.92774163	  0.92820605
   60.150000	  0.92872878	  0.92918287
   60.300000	  0.92971209	  0.93015581
   60.450000	  0.93069158	  0.93112489
   60.600000	  0.93166692	  0.93208999
   60.750000	  0.93263357	  0.93304855
   60.900000	  0.93357138	  0.93398714
   61.050000	  0.93443418	  0.93487117
   61.200000	  0.93515211	  0.93564351
   61.350000	  0.93564427	  0.93623325
   61.500000	  0.93583306	  0.93656789
   61.650000	  0.93565414	  0.93658333
   61.800000	  0.93506111	  0.93622955
   61.950000	  0.93402612	  0.93547254
   62.100000	  0.93253801	  0.93429362
   62.250000	  0.93059933	  0.93268745
   62.400000	  0.92822317	  0.93065945
   62.550000	  0.92543024	  0.92822323
   62.700000	  0.92224630	  0.92539834
   62.850000	  0.91870018	  0.92220823
   63.000000	  0.91482222	  0.91867880
   63.150000	  0.91064310	  0.91483709
   63.300000	  0.90619300	  0.91071043
   63.450000	  0.90150103	  0.90632575
   63.600000	  0.89659484	  0.90170911
   63.750000	  0.89150042	  0.89688538
   63.900000	  0.88624196	  0.89187809
   64.050000	  0.88084182	  0.88670925
   64.200000	  0.87532055	  0.88139936
   64.350000	  0.86969695	  0.87596738
   64.500000	  0.86398812	  0.87043078
   64.650000	  0.85820963	  0.86480561
   64.800000	  0.85237552	  0.85910654
   64.950000	  0.84649851	  0.85334696
   65.100000	  0.84059004	  0.84753904
   65.250000	  0.83466040	  0.84169385
   65.400000	  0.82871882	  0.83582142
   65.550000	  0.82277356	  0.82993083
   65.700000	  0.81683200	  0.82403026
   65.850000	  0.81090075	  0.81812711
   66.000000	  0.80498566	  0.81222802
   66.150000	  0.79909194	  0.80633896
   66.300000	  0.79322423	  0.80046530
   66.450000	  0.78738659	  0.79461183
   66.600000	  0.78158263	  0.78878283
   66.750000	  0.77581552	  0.78298212
   66.900000	  0.77008802	  0.77721310
   67.050000	  0.76440255	  0.77147877
   67.200000	  0.75876121	  0.76578179
   67.350000	  0.75316581	  0.76012451
   67.500000	  0.74761789	  0.75450898
   67.650000	  0.74211876	  0.74893699
   67.800000	  0.73666954	  0.74341008
   67.950000	  0.73127115	  0.73792962
   68.100000	  0.72592431	  0.73249672
   68.250000	  0.72062964	  0.72711237
   68.400000	  0.71538759	  0.72177737
   68.550000	  0.71019850	  0.71649239
   68.700000	  0.70506258	  0.71125795
   68.850000	  0.69997997	  0.70607447
   69.000000	  0.69495070	  0.70094226
   69.150000	  0.68997474	  0.69586152
   69.300000	  0.68505197	  0.69083239
   69.450000	  0.68018223	  0.68585490
   69.600000	  0.67536528	  0.68092903
   69.750000	  0.67060084	  0.67605470
   69.900000	  0.66588861	  0.67123176
   70.050000	  0.66122821	  0.66646001
   70.200000	  0.65661925	  0.66173922
   70.350000	  0.65206131	  0.65706909
   70.500000	  0.64755395	  0.65244932
   70.650000	  0.64309668	  0.64787955
   70.800000	  0.63868903	  0.64335941
   70.950000	  0.63433048	  0.63888848
   71.100000	  0.63002051	  0.63446636
   71.250000	  0.62575858	  0.63009258
   71.400000	  0.62154417	  0.62576669
   71.550000	  0.61737671	  0.62148822
   71.700000	  0.61325564	  0.61725667
   71.850000	  0.60918042	  0.61307155
   72.000000	  0.60515046	  0.60893235
   72.150000	  0.60116521	  0.60483856
   72.300000	  0.59722409	  0.60078965
   72.450000	  0.59332654	  0.59678511
   72.600000	  0.58947200	  0.59282440
   72.750000	  0.58565988	  0.58890699
   72.900000	  0.58188963	  0.58503236
   73.050000	  0.57816070	  0.58119997
   73.200000	  0.57447251	  0.57740928
   73.350000	  0.57082452	  0.57365978
   73.500000	  0.56721618	  0.56995093
   73.650000	  0.56364695	  0.56628221
   73.800000	  0.56011628	  0.56265309
   73.950000	  0.55662364	  0.55906305
   74.100000	  0.55316850	  0.55551158
   74.250000	  0.54975034	  0.55199816
   74.400000	  0.54636865	  0.54852228
   74.550000	  0.54302290	  0.54508345
   74.700000	  0.53971261	  0.54168115
   74.850000	  0.53643727	  0.53831491
   75.000000	  0.53319639	  0.53498423
   75.150000	  0.52998948	  0.53168862
   75.300000	  0.52681607	  0.52842761
   75.450000	  0.52367569	  0.52520073
   75.600000	  0.52056787	  0.52200752
   75.750000	  0.51749216	  0.51884750
   75.900000	  0.51444810	  0.51572023
   76.050000	  0.51143525	  0.51262525
   76.200000	  0.50845317	  0.50956214
   76.350000	  0.50550143	  0.50653044
   76.500000	  0.50257961	  0.50352973
   76.650000	  0.49968729	  0.50055959
   76.800000	  0.49682406	  0.49761959
   76.950000	  0.49398950	  0.49470932
   77.100000	  0.49118323	  0.49182838
   77.250000	  0.48840485	  0.48897637
   77.400000	  0.48565398	  0.48615289
   77.550000	  0.48293023	  0.48335755
   77.700000	  0.48023323	  0.48058997
   77.850000	  0.47756262	  0.47784977
   78.000000	  0.47491803	  0.47513659
   78.150000	  0.47229910	  0.47245005
   78.300000	  0.46970549	  0.46978979
   78.450000	  0.46713685	  0.46715547
   78.600000	  0.46459284	  0.46454673
   78.750000	  0.46207313	  0.46196323
   78.900000	  0.45957739	  0.45940462
   79.050000	  0.45710530	  0.45687059
   79.200000	  0.45465654	  0.45436079
   79.350000	  0.45223080	  0.45187491
   79.500000	  0.44982777	  0.44941263
   79.650000	  0.44744715	  0.44697363
   79.800000	  0.44508864	  0.44455762
   79.950000	  0.44275195	  0.44216427
   80.100000	  0.44043679	  0.43979331
   80.250000	  0.43814289	  0.43744443
   80.400000	  0.43586995	  0.43511735
   80.550000	  0.43361771	  0.43281177
   80.700000	  0.43138591	  0.43052743
   80.850000	  0.42917426	  0.42826405
   81.000000	  0.42698252	  0.42602135
   81.150000	  0.42481043	  0.42379908
   81.300000	  0.42265773	  0.42159696
   81.450000	  0.42052418	  0.41941473
   81.600000	  0.41840953	  0.41725216
   81.750000	  0.41631355	  0.41510898
   81.900000	  0.41423599	  0.41298494
   82.050000	  0.41217662	  0.41087982
   82.200000	  0.41013523	  0.40879336
   82.350000	  0.40811157	  0.40672533
   82.500000	  0.40610543	  0.40467551
   82.650000	  0.40411659	  0.40264366
   82.800000	  0.40214483	  0.40062956
   82.950000	  0.40018995	  0.39863299
   83.100000	  0.39825174	  0.39665374
   83.250000	  0.39632999	  0.39469159
   83.400000	  0.39442450	  0.39274632
   83.550000	  0.39253507	  0.39081774
   83.700000	  0.39066152	  0.38890564
